S/N,State,2015_Revenue_1,2015_Revenue_2,2015_Net_Change
12,ABIA,"2,371,194,895.08","13,349,444,263.72","978,249,368.64"
28,ADAMAWA,"4,994,481,880.78","-4,451,736,117.84","542,745,762.94"
9,AKWA IBOM,"5,676,502,423.00","14,791,175,253.00","885,327,170.00"
8,ANAMBRA,"0,454,312,316.18","14,793,120,188.67","4,338,807,872.49"
25,BAUCHI,"4,853,453,184.87","5,393,721,996.00","540,268,811.13"
15,BAYELSA,"0,958,263,688.00","8,713,516,526.24","2,244,747,161.76"
17,BENUE,"8,284,425,160.72","7,631,789,841.37","652,635,319.35"
32,BORNO,"2,760,773,778.99","3,530,261,222.31","769,487,443.32"
11,CROSS RIVER,"5,738,850,743.95","13,567,122,507.38","2,171,728,236.57"
3,DELTA,"2,819,209,025.24","40,805,656,911.96","2,013,552,113.28"
36,EBONYI,"3,150,448,027.70","1,952,454,339.12","5,102,902,366.82"
5,EDO,"7,023,595,231.62","19,117,468,369.25","2,093,873,137.63"
33,EKITI,"3,462,341,448.32","3,297,707,703.96","164,633,744.36"
6,ENUGU,"9,250,345,593.00","18,081,014,527.00","1,169,331,066.00"
27,GOMBE,"5,196,460,381.93","4,784,605,861.47","411,854,520.46"
24,IMO,"8,115,751,385.95","5,472,581,634.18","2,643,169,751.77"
26,JIGAWA,"6,273,310,616.35","5,081,424,105.40","1,191,886,510.95"
13,KADUNA,"2,782,522,514.51","11,536,729,988.59","1,245,792,525.92"
10,KANO,"3,661,853,935.85","13,611,853,935.85","0,000,000.00"
23,KATSINA,"6,223,037,599.00","5,791,008,741.00","432,028,858.00"
31,KEBBI,"3,834,143,641.95","3,592,406,108.00","241,737,533.95"
20,KOGI,"6,569,928,653.47","6,776,580,756.17","206,652,102.70"
18,KWARA,"2,460,517,954.55","7,178,922,182.76","5,281,595,771.79"
1,LAGOS,"276,163,978,675.95","68,224,782,435.23","7,939,196,240.72"
29,NASARAWA,"4,085,127,585.70","4,281,701,806.50","196,574,220.80"
22,NIGER,"5,737,185,035.88","5,975,149,921.86","237,964,885.98"
4,OGUN,"7,497,620,787.52","34,596,446,519.52","17,098,825,732.00"
14,ONDO,"1,718,741,502.49","10,098,000,000.00","1,620,741,502.49"
16,OSUN,"8,513,274,186.67","8,072,966,446.00","440,307,740.67"
7,OYO,"6,307,233,700.20","15,663,514,824.73","643,718,875.47"
19,PLATEAU,"8,284,425,159.92","6,937,349,802.70","1,347,075,357.22"
2,RIVERS,"9,112,448,347.58","82,101,298,408.43","7,011,149,939.15"
21,SOKOTO,"5,617,763,260.35","6,224,448,122.53","606,684,862.18"
30,TARABA,"3,799,040,873.48","4,155,053,816.15","356,012,942.67"
35,YOBE,"3,073,780,160.87","2,251,330,427.39","822,449,733.48"
34,ZAMFARA,"3,149,630,553.96","2,741,632,541.03","407,998,012.93"
