State,2018_IGR
Abia,"14,834,904,447.49"
Adamawa,"6,204,876,665.62"
Akwa Ibom,"24,210,810,102.72"
Anambra,"19,305,267,646.94"
Bauchi,"9,690,832,177.58"
Bayelsa,"13,636,545,716.78"
Benue,"11,215,482,725.16"
Borno,"6,524,300,904.06"
Cross River,"17,552,112,937.09"
Delta,"58,439,598,672.31"
Ebonyi,"6,144,587,065.65"
Edo,"28,425,496,842.23"
Ekiti,"6,465,374,250.65"
Enugu,"22,145,937,216.00"
Gombe,"7,343,549,621.53"
Imo,"14,884,271,810.31"
Jigawa,"9,246,250,836.03"
Kaduna,"29,446,386,924.74"
Kano,"44,107,375,284.25"
Katsina,"6,961,870,329.00"
Kebbi,"4,881,961,005.78"
Kogi,"11,334,113,743.58"
Kwara,"23,046,944,295.60"
Lagos,"382,181,548,627.13"
Nasarawa,"7,566,920,656.91"
Niger,"10,432,190,956.63"
Ogun,"84,554,199,593.67"
Ondo,"24,788,059,725.53"
Osun,"10,381,663,677.98"
Oyo,"24,635,074,074.49"
Plateau,"12,726,479,548.41"
Rivers,"112,780,373,912.23"
Sokoto,"18,762,009,020.05"
Taraba,"5,968,809,583.11"
Yobe,"4,382,259,456.05"
Zamfara,"8,206,695,592.14"
